Organization,URL,Occurrence
21st century technologies,http://www.deumbra.com,1
"3form, llc",http://www.3-form.com/,2
"abaxis, inc.",http://www.abaxis.com,2
abbott molecular inc.,www.abbott.com,2
"abs materials, inc.",http://www.absmaterials.com,1
"ade, inc.",http://www.ade-usa.com,3
"advanced ceramic fibers, llc",www.acfibers.com,1
"advanced fuel research, inc.",http://www.afrinc.com,1
advanced research corporation,http://www.arcnano.com,6
advanced research corporation,http://www.oregonarc.com,6
aeroprobe corporation,http://www.aeroprobe.com,1
"aerovironment, inc.",http://www.aerovironment.com,1
"aerovironment, inc.",http://www.avinc.com,2
"affymetrix, inc.",http://www.affymetrix.com,22
"agiltron, inc.",http://www.agiltron.com/,1
"aircuity, inc.",http://www.aircuity.com,1
"akermin, inc.",www.akermin.com,1
alliant techsystems inc.,http://www.orbitalatk.com,6
american gnc corporation,http://www.americangnc.com,3
american lithium energy corp.,http://www.americanlithiumenergy.com,1
american panel corporation,http://www.american-panel.com,1
"american semiconductor, inc.",http://www.americansemi.com,1
"amprius, inc.",http://www.amprius.com,2
anasys instruments corp.,http://www.anasysinstruments.com,1
"aoti, inc.",http://www.aotinc.net,1
"applied nanostructures, inc.",www.appnano.com,1
"argent international, inc.",www.argent-international.com,2
"aries electronics, inc.",http://www.arieselec.com,1
"ascent solar technologies, inc.",www.ascentsolar.com,1
"asm america, inc.",www.asm.com,43
"atkins & pearce, inc.",http://www.atkinsandpearce.com,1
"aurrion, inc.",http://www.aurrion.com,1
"aushon biosystems, inc.",http://www.aushon.com,2
avery dennison corporation,http://www.averydennison.com/en/home.html,50
avery dennison corporation,www.averydennison.com,50
azimuth corporation,http://www.azimuth-corp.com,1
"azul systems, inc.",http://www.azulsystems.com,3
"beckman coulter, inc.",http://www.beckmancoulter.com,2
"becton, dickinson and company",http://www.bdbiosciences.com/,14
"biochain institute, inc.",http://www.biochain.com/,1
"bionano genomics, inc.",https://www.bionanogenomics.com,3
branson ultrasonics corporation,http://www.bransonultrasonics.com,2
brother international corporation,http://www.brother.com,13
"bush industries, inc.",http://www.bbffits.com/markets/gsa.aspx,1
"cao group, inc.",http://www.caogroup.com,2
"carl zeiss meditec, inc.",http://www.meditec.zeiss.com,2
"carver scientific, inc.",http://www.carversci.com,4
"cascade designs, inc.",http://www.cascadedesigns.com,1
"cascade designs, inc.",www.cascadedesigns.com,1
"cascade designs, inc.",www.varilite.com,1
"cavium, inc.",http://www.caviumnetworks.com,1
"cerahelix, inc.",www.cerahelix.com,1
cerus corporation,www.cerus.com,1
cfd research corporation,http://www.cfdrc.com,4
chemcut corporation,www.chemcut.net,4
chemimage corporation,www.chemimage.com,2
clearsign combustion corporation,http://www.clearsigncombustion.com,1
"complete genomics, inc.",http://www.completegenomics.com,8
"composite technology, inc.",http://www.rotorblades.com,1
"consolidated engineering company, inc.",http://www.cec-intl.com,2
"corium international, inc.",http://www.coriumgroup.com,1
cortec corporation,http://www.cortecvci.com,1
"cosco, inc.",http://www.coscohawaii.com,1
"cosco, inc.",www.coscofence.com,1
cospheric llc,http://www.cospheric.com,1
"covaris, inc.",http://www.covarisinc.com,2
"crystal clear technologies, inc.",http://www.crystalcleartec.com,1
"crystal clear technologies, inc.",http://www.simplyclearwater.com,1
crystal solar inc.,www.xtalsolar.com,4
culligan international company,www.culligan.com,2
"cygnus, inc.",http://www.cygnusaero.com,1
"cygnus, inc.",www.hospitalworkstations.com,1
dais analytic corporation,http://www.daisanalytic.com,1
"daylight solutions, inc.",http://www.daylightsolutions.com,12
"dcg systems, inc.",http://www.fei.com/,8
"delta electronics, inc.",http://www.deltaelectronics.com,5
"dhpc technologies, inc.",http://www.dhpctech.com,2
"dicon fiberoptics, inc.",http://www.diconfiber.com,2
"displaytech, inc.",http://www.displaytech.com,1
"doubleday acquisitions, llc",http://www.acutemp.com/,2
durex international corp.,www.durexindustries.com,1
"dynetics, inc.",http://www.dynetics.com,1
"dynetics, inc.",www.dynetics.com,2
"eic laboratories, inc.",http://www.eiclabs.com,1
"electro-science laboratories, inc.",http://www.electroscience.com,1
"electronic biosciences, inc.",http://www.electronicbio.com/,3
"electronic warfare associates, inc.",http://www.ewa.com,3
"element one, inc.",http://www.elem1.com,1
element six technologies us corporation,http://www.e6.com,1
eospace inc.,http://www.eospace.com,1
epilog corporation,http://www.epiloglaser.com,3
"esmet, inc.",www.esmet.com,1
"everspin technologies, inc.",http://www.everspin.com,18
"excel dryer, inc.",http://www.exceldryer.com,1
"excellatron solid state, llc",http://www.excellatron.com,2
"fenwal, inc.",http://www.fenwalinc.com,1
"fibertek, inc.",http://www.fibertek.com,1
fike corporation,http://www.fike.com,7
finisar corporation,http://www.finisar.com,46
fluidigm corporation,www.fluidigm.com,12
"four dimensions, inc.",www.4dimensions.com,1
"gb tech, inc.",gbtech.net,2
"glimmerglass networks, inc.",http://www.glimmerglass.com,3
goodrich corporation,http://utcaerospacesystems.com,1
h2scan corporation,http://www.h2scan.com/,1
honeywell international inc.,https://www.bendixking.com,156
"hsio technologies, llc",www.hsiotech.com,2
ideal power inc.,www.idealpower.com,1
imds corporation,http://www.imds-ohio.com,5
immersive media company,www.immersivemedia.com,1
implant sciences corporation,http://www.implantsciences.com,2
"imra america, inc.",http://www.imra.com,13
"ini power systems, inc.",http://www.inipower.com,1
"instrotek, inc.",http://www.instrotek.com,2
integenx inc.,http://www.integenx.com,1
"intelligent material solutions, inc.",http://www.intmatsol.com,1
inview technology corporation,www.inviewcorp.com,1
"ionwerks, inc.",http://www.ionwerks.com,3
it&t,http://www.inter2t.com,1
"jentek sensors, inc.",www.jenteksensors.com,5
jet process corporation,www.jetprocess.com,6
jx crystals inc.,http://www.jxcrystals.com,3
"k-space associates, inc.",http://www.k-space.com,3
"kazak composites, incorporated",http://www.kazakcomposites.com,1
kodak alaris inc.,www.kodakalaris.com,2
"kulite semiconductor products, inc",http://www.kulite.com,28
"lake shore cryotronics, inc.",www.lakeshore.com,4
landoll corporation,http://www.landoll.com,3
"lasermax, inc.",http://www.lasermax.com,2
"laughing rabbit, inc.",http://www.laughingrabbitinc.com,2
"lawrence semiconductor research laboratory, inc.",http://www.lsrl.com,2
"lexmark international, inc.",http://www.lexmark.com,27
"liquid x printed metals, inc.",www.liquid-x.com,1
long-lok fasteners corporation,http://www.longlok.com,2
long-lok fasteners corporation,www.longlok.com,1
"lsp technologies, inc.",http://www.lsptechnologies.com,2
luna innovations incorporated,http://www.lunainc.com,10
lundell manufacturing corporation,http://www.lundellmfg.com,2
lynntech inc.,http://www.lynntech.com,2
"magnolia optical technologies, inc.",http://www.magnoliaoptical.com,2
"mcgean-rohco, inc.",http://www.mcgean.com,2
medicis pharmaceutical corporation,http://www.medicis.com/,1
"mercator medsystems, inc.",http://www.mercatormed.com,1
"mersive technologies, inc.",www.mersive.com,1
michigan aerospace corporation,http://www.michiganaero.com,1
micro control company,http://www.microcontrol.com,1
"microchips biotech, inc.",http://www.microchipsbiotech.com/,1
"microcosm, inc.",http://www.smad.com,2
"microfab technologies, inc.",www.microfab.com,5
"microlink devices, inc.",www.mldevices.com,4
"micron optics, inc.",http://www.micronoptics.com,1
miltec corporation,http://www.miltec.com,1
minerva biotechnologies corporation,www.minervabio.com,1
"mocon, inc.",http://www.mocon.com,1
"moderna therapeutics, inc.",http://www.modernatx.com,1
"monosol, llc",http://www.terraloc.com/,11
"moxtek, inc.",http://www.moxtek.com,5
nanobio corporation,http://www.nanobio.com,5
nanobiotix,www.nanobiotix.com,1
"nanocomp technologies, inc.",http://www.nanocomptech.com,7
"nanomech, inc.",www.nanomech.com,19
"nanoridge materials, inc.",http://www.nanoridge.com,3
"nanospectra biosciences, inc.",www.nanospectra.com,1
"nanosphere, inc.",http://www.nanosphere.us,10
"nantero, inc.",www.nantero.com,175
"neology, inc.",http://www.neology-rfid.com,3
nitor,https://www.nitorinc.com,3
"novavax, inc.",http://www.novavax.com,1
"npoint, inc.",http://www.npoint.com,2
"oceanit laboratories, inc.",http://www.oceanit.com,11
"odyne systems, llc",odyne.com,1
"oepic semiconductors, inc.",http://www.oepic.com,1
"ofs fitel, llc",http://www.specialtyphotonics.com,2
"omega engineering, inc.",www.omega.com,1
optodot corporation,http://www.optodot.com,5
"oscoda plastics, inc.",http://www.protect-allflooring.com,1
"pacific biosciences of california, inc.",www.pacb.com,66
"particle measuring systems, inc.",https://www.pmeasuring.com,5
"petoskey plastics, inc.",http://www.petoskeyplastics.com,1
"photodigm, inc.",http://www.photodigm.com/,5
"photon-x, llc",http://www.photon-xllc.com,1
"photonics industries international, inc.",http://www.photonix.com,2
"picarro, inc.",http://www.picarro.com,1
pioneer astronautics,http://www.pioneerastro.com,1
"polytronix, inc.",http://www.polytronix.com,2
posco,http://www.poscoinc.com,7
power gold llc,www.powergoldconsultant.com,1
"pranalytica, inc.",http://www.pranalytica.com,2
"princeton optronics, inc.",princetonoptronics.com,4
"progressive dynamics, inc.",www.progressivedyn.com,2
"propagation research associates, inc.",http://pra-corp.com/,1
"protochips, inc.",http://www.protochips.com,1
"qbase, llc",http://www.qbase.com,1
"qortek, inc.",http://www.qortek.com,1
quallion llc,http://www.quallion.com,1
quantum corporation,http://www.quantum.com/,9
quantum semiconductor llc,www.quantumsemi.com,5
quantumscape corporation,http://www.quantumscape.com,3
quicklogic corporation,http://www.quicklogic.com,4
"radeum, inc.",http://www.freelinc.com,3
"radiation detection technologies, inc.",http://www.radectech.com,1
"radiation monitoring devices, inc.",http://www.rmdinc.com,2
"red.com, inc.",red.com,1
"rigaku innovative technologies, inc.",www.rigakuoptics.com,1
rimage corporation,www.rimage.com,3
"rinehart motion systems, llc",http://www.rinehartmotion.com,1
selas heat technology company llc,www.selas.com,2
"selecta biosciences, inc.",http://www.selectabio.com,8
sensanna incorporated,http://www.sensanna.com,1
sensor-kinesis corporation,sensor-kinesis.com,2
"shotspotter, inc.",http://www.shotspotter.com,1
"siemens energy, inc.",www.siemens.com,20
"sierra instruments, inc.",http://www.sierrainstruments.com,3
"siga technologies, inc.",http://www.siga.com,3
silicon valley bank,http://www.svb.com/,1
"smiths interconnect microwave components, inc.",www.smithsinterconnect.com,4
"solitron devices, inc.",http://www.solitrondevices.com,1
spectronics corporation,http://www.spectroline.com,1
"stemcyte, inc.",www.stemcyte.com,1
"streamline automation, llc",http://www.streamlineautomation.biz,1
superior graphite co.,http://www.superiorgraphite.com,1
"t2 biosystems, inc.",http://www.t2biosystems.com,10
"tegam, inc.",https://www.tegam.com,1
"telchemy, incorporated",http://www.telchemy.com,1
"teledyne scientific & imaging, llc",http://www.optimumopticalsystems.com,15
"terarecon, inc.",http://www.terarecon.com,1
textiles coated international,http://www.textilescoated.com,1
"titan spine, llc",http://www.titanspine.com,3
"transgenex nanobiotech, inc.",http://www.transgenex.com,1
trex enterprises corporation,http://www.trexenterprises.com,3
"triple ring technologies, inc.",http://www.tripleringtech.com,3
"tristan technologies, inc.",http://www.tristantech.com,1
"triton systems, inc.",http://www.tritonsys.com,2
troll systems corporation,http://www.trollsystems.com,1
ultramet,http://www.ultramet.com,1
uluru inc.,http://www.uluruinc.com/,1
univex corporation,http://www.univexcorp.com,2
"valeritas, inc.",https://www.valeritas.com,1
"vectron international, inc.",http://www.vectron.com,2
"veritech, inc.",http://www.veritech.cc,1
"vertex, inc.",http://www.vertexseals.com,2
vindico nanobio technology inc.,http://www.vindicopharma.com,2
virco mfg. corporation,http://www.virco.com,1
virco mfg. corporation,www.virco.com,1
"vision iii imaging, inc.",http://www.inv3.com,2
"voss scientific, llc",http://www.vosssci.com,1
"voxtel, inc.",https://www.voxtel-inc.com,7
wall colmonoy corporation,http://www.wallcolmonoy.com,2
"warwick mills, inc.",http://www.turtleskin.com/,3
"wentworth laboratories, inc.",https://www.wentworthlabs.com,2
"worthen industries, inc.",https://www.worthenind.com,3
wright materials research co.,http://www.wrightmat.com,1
wyatt technology corporation,http://www.wyatt.com,2
"xandex, inc.",https://www.xandex.com,1
xintec corporation,http://convergentlaser.com,3
"ypoint capital, inc.",www.loadstarsensors.com,1
"ziptronix, inc.",http://www.ziptronix.com,6
zygo corporation,http://www.zygo.com,21
